ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
332,3190,1,0,1080,998,0,1,0,1,1,0,0,72,0,0,10
163,1434,1,0,1080,1006,0,1,0,1,1,0,0,74,0,0,0
967,9498,1,0,1080,1055,0,1,0,2,0,3,0,0,0,0,25
1444,13703,1,0,1080,931,1,0,0,1,1,0,0,59,58,1,31
464,4564,1,0,1080,573,0,1,0,2,0,1,0,450,0,0,57
1113,10928,1,0,1080,783,1,0,0,2,0,0,76,221,0,0,0
1891,17572,1,0,1080,1048,1,0,0,2,0,0,0,27,0,5,0
279,2534,1,0,1080,1075,0,1,0,2,0,2,0,0,0,5,0
893,8706,1,0,1080,574,1,0,0,2,0,0,0,506,0,0,0
434,4260,1,0,1080,850,1,0,0,2,0,2,0,184,0,0,46
786,7500,1,0,1080,801,1,0,0,2,0,2,6,273,0,0,0
385,3719,1,0,1080,1075,0,0,1,2,0,0,0,0,0,0,5
329,3164,1,0,1080,1075,1,0,0,1,1,2,0,0,0,5,0
1489,14115,1,0,1080,1059,1,0,0,2,0,1,0,21,0,0,0
1225,11803,1,0,1080,1077,1,0,0,2,0,2,0,0,0,0,3
1877,17483,1,0,1080,1076,1,0,0,2,0,3,0,0,0,0,4
204,1734,1,0,1080,703,0,1,0,1,1,0,32,8,296,0,41
561,5422,1,0,1080,1030,1,0,0,1,1,0,0,0,50,0,0
973,9530,1,0,1080,823,0,0,1,1,1,2,0,257,0,0,0
1737,16049,1,0,1080,1022,1,0,0,1,1,0,0,0,48,10,0
611,5767,1,0,1080,1077,0,1,0,1,1,0,0,0,0,0,3
123,1062,1,0,1080,939,1,0,0,2,0,1,0,141,0,0,0
1878,17488,1,0,1080,634,0,0,1,2,0,0,18,428,0,0,0
1510,14254,1,0,1080,1078,0,1,0,2,0,0,0,2,0,0,0
1852,17165,1,0,1080,920,0,0,1,2,0,0,0,145,15,0,0
1086,10662,1,0,1080,847,1,0,0,2,0,2,96,129,8,0,0
1826,16921,1,0,1080,640,1,0,0,2,0,0,0,22,418,0,0
62,533,1,0,1080,827,1,0,0,2,0,3,0,0,253,0,0
939,9110,1,0,1080,1076,0,1,0,1,1,0,0,0,0,0,4
421,4122,1,0,1080,878,0,0,1,2,0,0,0,161,0,0,41
1912,17743,1,0,1080,741,1,0,0,1,1,0,0,0,304,0,35
1713,15834,1,0,1080,839,1,0,0,2,0,0,0,241,0,0,0
1708,15796,1,0,1080,368,0,0,1,2,0,0,0,712,0,0,0
