ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
226,1979,1,0,1080,551,0,0,1,2,0,2,0,336,0,0,193
1138,11101,1,0,1080,485,0,1,0,2,0,1,0,595,0,0,0
75,700,1,0,1080,1078,0,1,0,2,0,0,0,0,2,0,0
1270,12169,1,0,1080,1043,0,1,0,1,1,0,0,0,0,0,37
128,1127,1,0,1080,508,1,0,0,2,0,0,0,572,0,0,0
47,418,1,0,1080,1077,1,0,0,2,0,0,3,0,0,0,0
1575,14749,1,0,1080,1077,1,0,0,2,0,3,0,0,0,3,0
1517,14312,1,0,1080,1035,0,0,1,1,1,0,0,0,0,45,0
675,6549,1,0,1080,1076,0,1,0,1,1,0,0,4,0,0,0
1820,16890,1,0,1080,1076,1,0,0,1,1,0,0,0,4,0,0
1776,16379,1,0,1080,865,1,0,0,1,1,0,0,121,94,0,0
576,5493,1,0,1080,608,0,1,0,1,1,0,39,308,125,0,0
1213,11635,1,0,1080,676,0,0,1,2,0,3,0,404,0,0,0
1775,16366,1,0,1080,1075,1,0,0,2,0,4,0,0,0,0,5
266,2445,1,0,1080,588,0,0,1,2,0,1,0,492,0,0,0
1824,16911,1,0,1080,656,1,0,0,2,0,0,58,212,154,0,0
1934,17949,1,0,1080,1034,1,0,0,1,1,4,0,46,0,0,0
1345,12793,1,0,1080,1078,1,0,0,2,0,1,0,0,2,0,0
1448,13719,1,0,1080,389,1,0,0,1,1,0,0,102,570,0,19
1937,17992,1,0,1080,965,0,1,0,2,0,3,0,115,0,0,0
1059,10358,1,0,1080,988,0,1,0,1,1,2,92,0,0,0,0
82,750,1,0,1080,899,0,1,0,2,0,0,0,181,0,0,0
161,1431,1,0,1080,833,0,0,1,2,0,0,0,209,0,0,38
1304,12429,1,0,1080,855,0,1,0,1,1,0,0,126,99,0,0
1185,11414,1,0,1080,1061,0,1,0,1,1,0,19,0,0,0,0
1310,12463,1,0,1080,998,1,0,0,2,0,0,0,0,82,0,0
1230,11844,1,0,1080,1051,1,0,0,1,1,0,29,0,0,0,0
251,2274,1,0,1080,989,0,0,1,2,0,0,0,0,91,0,0
976,9558,1,0,1080,542,0,1,0,2,0,0,0,533,0,0,5
1966,18241,1,0,1080,539,1,0,0,1,1,0,0,0,541,0,0
22,197,1,0,1080,968,0,1,0,1,1,0,0,0,98,0,14
1982,18323,1,0,1080,990,1,0,0,1,1,0,0,0,90,0,0
1646,15269,1,0,1080,875,1,0,0,2,0,0,0,115,90,0,0
966,9492,1,0,1080,876,0,1,0,1,1,0,0,204,0,0,0
196,1629,1,0,1080,586,0,0,1,2,0,0,0,494,0,0,0
1303,12425,1,0,1080,1053,0,1,0,2,0,0,0,27,0,0,0
1509,14225,1,0,1080,1062,1,0,0,2,0,1,18,0,0,0,0
1793,16538,1,0,1080,404,0,1,0,2,0,0,0,676,0,0,0
1756,16195,1,0,1080,187,1,0,0,1,1,0,0,0,893,0,0
19,162,1,0,1080,1079,0,0,1,1,1,0,0,0,1,0,0
1235,11873,1,0,1080,1078,0,1,0,2,0,0,0,0,0,0,2
1258,12083,1,0,1080,363,0,1,0,2,0,1,0,717,0,0,0
700,6783,1,0,1080,1077,1,0,0,2,0,0,3,0,0,0,0
1129,11048,1,0,1080,1078,1,0,0,1,1,0,0,0,2,0,0
1214,11644,1,0,1080,934,1,0,0,2,0,3,0,44,0,0,102
1779,16410,1,0,1080,1076,0,0,1,1,1,0,0,0,4,0,0
756,7246,1,0,1080,750,1,0,0,2,0,0,0,330,0,0,0
909,8883,1,0,1080,920,0,0,1,2,0,0,0,3,157,0,0
1922,17816,1,0,1080,908,0,1,0,2,0,0,0,166,6,0,0
1428,13556,1,0,1080,603,1,0,0,2,0,1,32,445,0,0,0
158,1422,1,0,1080,680,0,1,0,1,1,1,0,400,0,0,0
1701,15708,1,0,1080,948,0,0,1,2,0,0,0,132,0,0,0
201,1693,1,0,1080,1079,1,0,0,1,1,0,0,0,0,1,0
956,9315,1,0,1080,705,1,0,0,2,0,2,0,356,0,19,0
1544,14490,1,0,1080,722,1,0,0,2,0,0,0,220,138,0,0
832,7946,1,0,1080,446,0,1,0,2,0,0,0,196,438,0,0
940,9121,1,0,1080,1022,1,0,0,2,0,2,0,58,0,0,0
450,4392,1,0,1080,1006,1,0,0,2,0,0,13,0,21,40,0
1159,11227,1,0,1080,1079,1,0,0,1,1,0,0,1,0,0,0
535,5231,1,0,1080,1075,1,0,0,2,0,0,5,0,0,0,0
1297,12392,1,0,1080,1068,1,0,0,2,0,1,0,0,0,12,0
80,743,1,0,1080,1048,1,0,0,1,1,0,0,0,0,32,0
214,1840,1,0,1080,1039,1,0,0,2,0,0,0,41,0,0,0
295,2722,1,0,1080,1076,0,1,0,2,0,0,0,0,0,0,4
1924,17841,1,0,1080,546,0,0,1,2,0,0,0,155,354,25,0
1453,13753,1,0,1080,748,0,0,1,2,0,2,0,332,0,0,0
1599,14922,1,0,1080,1079,1,0,0,2,0,0,1,0,0,0,0
303,2888,1,0,1080,1063,1,0,0,2,0,0,17,0,0,0,0
1023,9980,1,0,1080,1077,1,0,0,2,0,0,0,0,0,3,0
507,4955,1,0,1080,1079,0,1,0,1,1,0,1,0,0,0,0
1803,16652,1,0,1080,1029,1,0,0,2,0,1,0,51,0,0,0
479,4702,1,0,1080,1079,0,0,1,2,0,0,0,1,0,0,0
685,6645,1,0,1080,1077,0,0,1,2,0,0,0,0,3,0,0
411,4022,1,0,1080,1039,0,1,0,2,0,1,41,0,0,0,0
1359,12917,1,0,1080,1075,0,0,1,2,0,1,0,5,0,0,0
962,9434,1,0,1080,1058,1,0,0,2,0,0,0,22,0,0,0
1700,15683,1,0,1080,705,0,0,1,2,0,0,0,0,375,0,0
722,6943,1,0,1080,793,0,0,1,2,0,3,0,287,0,0,0
1107,10854,1,0,1080,1078,1,0,0,2,0,2,0,0,0,2,0
908,8882,1,0,1080,387,0,0,1,2,0,0,0,693,0,0,0
1103,10796,1,0,1080,1077,0,0,1,1,1,0,0,0,3,0,0
1313,12489,1,0,1080,948,1,0,0,1,1,0,0,110,22,0,0
933,9058,1,0,1080,717,0,1,0,1,1,1,0,363,0,0,0
245,2203,1,0,1080,1079,0,1,0,2,0,1,0,0,0,1,0
620,5835,1,0,1080,914,0,1,0,2,0,0,0,66,40,0,60
1147,11144,1,0,1080,1078,0,0,1,2,0,0,0,0,2,0,0
658,6334,1,0,1080,562,1,0,0,2,0,0,0,518,0,0,0
601,5680,1,0,1080,838,1,0,0,2,0,0,0,0,242,0,0
1863,17330,1,0,1080,936,0,0,1,2,0,0,0,144,0,0,0
533,5222,1,0,1080,898,1,0,0,1,1,1,0,148,34,0,0
241,2168,1,0,1080,677,0,0,1,2,0,1,0,363,0,40,0
1142,11115,1,0,1080,907,1,0,0,1,1,0,0,0,173,0,0
1205,11569,1,0,1080,1077,1,0,0,2,0,0,0,0,3,0,0
1132,11065,1,0,1080,809,0,0,1,2,0,0,0,195,0,66,10
21,189,1,0,1080,875,0,0,1,1,1,0,0,0,0,205,0
190,1587,1,0,1080,923,1,0,0,2,0,0,0,0,157,0,0
1358,12909,1,0,1080,599,0,1,0,1,1,0,0,481,0,0,0
556,5404,1,0,1080,946,1,0,0,1,1,0,0,134,0,0,0
652,6282,1,0,1080,797,0,1,0,2,0,1,0,138,142,3,0
1838,16999,1,0,1080,755,0,1,0,1,1,1,0,255,0,0,70
591,5575,1,0,1080,1075,0,0,1,2,0,0,0,0,5,0,0
1339,12744,1,0,1080,1076,1,0,0,2,0,2,0,0,0,4,0
104,872,1,0,1080,344,1,0,0,1,1,0,0,0,736,0,0
1195,11490,1,0,1080,1079,1,0,0,2,0,2,0,1,0,0,0
1460,13831,1,0,1080,956,0,0,1,2,0,0,0,28,96,0,0
