ID,uno,sero,rural,urban,b51q11,Accomod,FandB,Transp,Shp,Recr,fr_fem,hinc20k,stlt3,st410,stgt10,bud
8609,1,0,0,1,5,4100,2000,1600,1200,0,0.666666667,0,0,1,0,100000
15319,1,0,0,1,3,1800,400,500,1200,0,0,0,1,0,0,100000
11245,1,0,0,1,2,200,800,1880,200,400,0.25,0,1,0,0,100000
9494,1,0,0,1,8,0,1200,1720,800,0,0.666666667,0,0,1,0,100000
5167,1,0,0,1,2,0,0,200,1100,0,0.6,0,1,0,0,100000
13491,1,0,0,1,2,1200,500,350,200,0,0,0,1,0,0,100000
5471,1,0,0,1,1,4700,500,780,1000,0,0,0,1,0,0,100000
4173,1,0,1,0,3,1300,300,1180,100,0,0.333333333,0,1,0,0,100000
12431,1,0,0,1,40,3800,2600,3280,2200,0,0.5,1,0,0,1,100000
13908,1,0,0,1,4,100,900,9100,2400,500,0.4,1,0,1,0,100000
13798,1,0,0,1,2,2300,200,850,700,0,0.333333333,0,1,0,0,100000
4516,1,0,1,0,3,0,0,172,0,0,0,0,1,0,0,100000
7976,1,0,0,1,15,0,900,1830,1300,0,0,0,0,0,1,100000
2534,1,0,1,0,12,0,1400,2200,1600,0,1,0,0,0,1,100000
5079,1,0,0,1,3,2600,2000,2000,1300,0,0.5,1,1,0,0,100000
5055,1,0,0,1,5,0,0,1100,400,0,0.5,0,0,1,0,100000
6633,1,0,0,1,7,0,3500,3500,2100,600,0.8,0,0,1,0,100000
8221,1,0,0,1,10,0,0,500,0,0,0.5,0,0,1,0,100000
3259,1,0,1,0,3,400,600,240,2500,100,0.666666667,0,1,0,0,100000
7327,1,0,0,1,7,0,0,800,100,0,0.75,0,0,1,0,100000
11397,1,0,0,1,3,0,0,800,0,0,0,0,1,0,0,100000
14611,1,0,1,0,3,0,400,7000,700,0,0.6,0,1,0,0,100000
11540,1,0,0,1,3,1600,3300,1500,300,0,0.5,0,1,0,0,100000
4351,1,0,1,0,1,0,200,2000,400,0,0.5,0,1,0,0,100000
12509,1,0,0,1,4,0,800,350,900,0,1,0,0,1,0,100000
4756,1,0,0,1,2,0,900,80,4500,0,0.333333333,0,1,0,0,100000
4605,1,0,1,0,4,100,200,142,500,0,1,0,0,1,0,100000
14499,1,0,1,0,3,2000,400,6300,200,900,0.666666667,1,1,0,0,100000
3043,1,0,1,0,5,0,0,160,400,0,1,0,0,1,0,100000
2428,1,0,1,0,5,1400,500,5500,5000,500,0,0,0,1,0,100000
7137,1,0,0,1,1,300,600,1140,900,0,0.25,0,1,0,0,100000
7932,1,0,0,1,6,16400,500,9000,2500,100,0.5,0,0,1,0,100000
10620,1,0,0,1,5,1300,2300,3000,700,0,0.5,0,0,1,0,100000
4733,1,0,0,1,4,3100,400,1200,6400,0,0.5,0,0,1,0,100000
9898,1,0,0,1,3,0,300,120,300,0,0.333333333,0,1,0,0,100000
8276,1,0,0,1,2,1300,300,140,500,0,1,0,1,0,0,100000
5751,1,0,0,1,2,300,1100,650,1100,0,0,0,1,0,0,100000
3514,1,0,1,0,2,0,0,2750,0,0,0.5,0,1,0,0,100000
13623,1,0,0,1,8,0,400,1500,1600,0,0,0,0,1,0,100000
13883,1,0,0,1,1,1100,200,400,300,0,0.5,0,1,0,0,100000
10488,1,0,0,1,5,700,700,3700,600,0,0,0,0,1,0,100000
10394,1,0,0,1,2,0,0,700,200,500,1,0,1,0,0,100000
13648,1,0,0,1,3,0,0,3670,1000,400,0.666666667,0,1,0,0,100000
7138,1,0,0,1,2,3700,700,1296,2000,0,0,0,1,0,0,100000
10941,1,0,0,1,3,800,2800,2600,5900,0,0.5,0,1,0,0,100000
7648,1,0,0,1,3,500,1700,2150,400,0,0.333333333,0,1,0,0,100000
15962,1,0,0,1,4,2700,4600,8000,200,0,0.333333333,1,0,1,0,100000
292,1,0,1,0,3,0,600,700,800,0,0,0,1,0,0,100000
1345,1,0,1,0,2,0,400,770,800,0,0.25,0,1,0,0,100000
6978,1,0,0,1,5,0,100,400,100,0,0.5,0,0,1,0,100000
12773,1,0,0,1,1,400,200,950,0,0,0.2,0,1,0,0,100000
3925,1,0,1,0,5,900,100,180,1000,3400,0.5,0,0,1,0,100000
10918,1,0,0,1,2,0,200,1820,2200,0,0.25,1,1,0,0,100000
13740,1,0,0,1,2,4900,1400,700,900,0,0.6,1,1,0,0,100000
2559,1,0,1,0,2,0,0,960,0,0,0.25,0,1,0,0,100000
1225,1,0,1,0,40,0,1900,280,2600,0,0,0,0,0,1,100000
4034,1,0,1,0,2,0,700,180,800,0,1,0,1,0,0,100000
12276,1,0,0,1,4,0,700,650,700,0,0.25,0,0,1,0,100000
15709,1,0,0,1,1,1000,1100,2900,700,0,0.5,1,1,0,0,100000
8229,1,0,0,1,1,600,500,2020,3000,400,0.5,0,1,0,0,100000
6668,1,0,0,1,5,1100,2000,2850,800,0,0.5,0,0,1,0,100000
12558,1,0,0,1,4,3800,600,1440,2000,0,0.5,0,0,1,0,100000
8023,1,0,0,1,2,200,300,400,900,0,0.5,0,1,0,0,100000
13739,1,0,0,1,4,0,1400,2650,1100,0,0,0,0,1,0,100000
10490,1,0,0,1,4,5100,4800,4000,3000,0,0.333333333,1,0,1,0,100000
6811,1,0,0,1,8,0,0,1200,0,0,0,0,0,1,0,100000
12560,1,0,0,1,7,0,100,1260,900,0,0.666666667,0,0,1,0,100000
3330,1,0,1,0,10,0,0,380,800,0,0.333333333,0,0,1,0,100000
5491,1,0,0,1,1,0,600,500,3900,100,0,0,1,0,0,100000
7893,1,0,0,1,30,0,4000,3250,3600,1000,0.5,0,0,0,1,100000
2460,1,0,1,0,10,0,300,1060,2300,100,0.5,0,0,1,0,100000
3437,1,0,1,0,2,200,700,400,1400,0,0,0,1,0,0,100000
10445,1,0,0,1,4,0,1200,1350,1100,700,0,0,0,1,0,100000
8249,1,0,0,1,2,1100,300,40,1100,0,0,0,1,0,0,100000
11401,1,0,0,1,10,0,1700,6650,3000,0,0.6,0,0,1,0,100000
1015,1,0,1,0,2,200,100,1500,1200,0,0.4,0,1,0,0,100000
6779,1,0,0,1,4,5200,1300,2500,2700,0,0.25,1,0,1,0,100000
8323,1,0,0,1,3,1900,8500,3800,1700,1000,0,1,1,0,0,100000
1081,1,0,1,0,4,3900,3900,110,7400,0,0.5,1,0,1,0,100000
11985,1,0,0,1,3,1100,1600,1850,6000,0,0.5,1,1,0,0,100000
14144,1,0,0,1,2,9400,400,120,2000,100,0.5,0,1,0,0,100000
13388,1,0,0,1,7,1400,700,920,1500,0,0.5,0,0,1,0,100000
3892,1,0,1,0,11,0,900,870,400,0,0.5,0,0,0,1,100000
2792,1,0,1,0,6,0,800,180,1000,0,0.5,0,0,1,0,100000
11510,1,0,0,1,8,2800,1000,600,800,0,0,1,0,1,0,100000
9236,1,0,0,1,10,0,100,150,200,0,0,0,0,1,0,100000
10868,1,0,0,1,6,400,500,18000,700,700,0.5,0,0,1,0,100000
11963,1,0,0,1,6,400,900,5000,200,0,0,0,0,1,0,100000
697,1,0,1,0,7,0,300,510,500,0,0,0,0,1,0,100000
12224,1,0,0,1,2,1100,3100,3500,2800,0,0.4,1,1,0,0,100000
2790,1,0,1,0,7,0,100,320,400,0,0.333333333,0,0,1,0,100000
3755,1,0,1,0,4,100,300,1150,700,0,0.25,0,0,1,0,100000
13610,1,0,0,1,2,0,100,448,0,0,0,0,1,0,0,100000
5496,1,0,0,1,1,1800,1800,800,1500,0,0,0,1,0,0,100000
4135,1,0,1,0,4,0,200,140,200,0,0,0,0,1,0,100000
10419,1,0,0,1,7,0,500,2500,900,0,0.5,0,0,1,0,100000
10616,1,0,0,1,10,500,2800,3080,6100,200,0.5,1,0,1,0,100000
12530,1,0,0,1,3,1600,27000,600,1800,0,0.5,0,1,0,0,100000
12750,1,0,0,1,8,3700,1300,24400,1400,0,0.5,0,0,1,0,100000
8052,1,0,0,1,5,4900,900,1000,3000,200,0,0,0,1,0,100000
12312,1,0,0,1,32,0,0,1607,0,0,0,0,0,0,1,100000
7923,1,0,0,1,36,900,3000,1750,6700,0,0,0,0,0,1,100000
7812,1,0,0,1,5,100,700,500,400,0,0.333333333,0,0,1,0,100000
15013,1,0,0,1,20,0,1300,4000,0,0,0.75,0,0,0,1,100000
7058,1,0,0,1,30,0,1800,320,1000,2300,0,0,0,0,1,100000
9627,1,0,0,1,18,0,700,1490,1800,0,0.333333333,0,0,0,1,100000
14882,1,0,1,0,2,100,500,1260,3200,0,0.5,0,1,0,0,100000
802,1,0,1,0,4,1300,1100,8000,200,0,0.2,0,0,1,0,100000
5190,1,0,0,1,7,3100,800,2700,2900,0,0.6,1,0,1,0,100000
1319,1,0,1,0,3,700,1200,950,1400,200,0,0,1,0,0,100000
3214,1,0,1,0,2,0,1000,60,2100,0,1,0,1,0,0,100000
11643,1,0,0,1,7,2100,1300,33200,3100,400,0.25,1,0,1,0,100000
7987,1,0,0,1,2,2100,900,160,400,0,0,0,1,0,0,100000
15417,1,0,0,1,1,500,4600,300,3100,0,0,0,1,0,0,100000
4183,1,0,1,0,12,0,600,112,1500,0,0,0,0,0,1,100000
3626,1,0,1,0,2,700,400,380,3400,0,0,0,1,0,0,100000
